id,text,label,category
1,"Sayın müşterimiz, kargonuz adresinizde bulunamadığınız için teslim edilemedi. Tekrar planlamak için hemen tıklayın: http://kargo-teslimat.net",phishing,kargo
2,Kargo gönderiniz teslim edilemedi! 24 saat içinde işlem yapmazsanız iade edilecektir: http://teslimat-onayla.co,phishing,kargo
3,Paketiniz dağıtıma çıktı ancak eksik adres nedeniyle teslim edilemedi. Bilgilerinizi güncelleyin: http://adres-duzelt.info,phishing,kargo
4,Kargonuz beklemede! Son teslimat denemesi için onay verin: http://hizli-kargo.link,phishing,kargo
5,Gönderiniz teslim edilemedi. Ek ücret uygulanmaması için hemen kontrol edin: http://ucret-kontrol.net,phishing,kargo
6,Acil! Kargonuz şubeye geri gönderilmek üzere. Teslim almak için tıklayın: http://kargo-acil.org,phishing,kargo
7,Dağıtım sırasında adresinizde bulunamadınız. Yeniden teslimat için: http://yeniteslimat.co,phishing,kargo
8,Kargo şirketi bildirimi: Paketiniz askıya alındı. Hemen doğrulayın: http://dogrulama-kargo.net,phishing,kargo
9,Teslimat başarısız oldu! Son işlem süresi dolmadan tıklayın: http://teslim-son.com,phishing,kargo
10,Kargonuz güvenlik nedeniyle bekletiliyor. Onay için giriş yapın: http://guvenli-teslim.link,phishing,kargo
11,Paketiniz teslim edilemedi. 12 saat içinde güncelleme yapın: http://12saat-kargo.info,phishing,kargo
12,Kargo bildirimi: Eksik posta kodu nedeniyle teslim edilemedi. Düzeltmek için: http://posta-kod.net,phishing,kargo
13,Kargonuz depoda bekliyor. İade edilmemesi için hemen işlem yapın: http://depo-kargo.co,phishing,kargo
14,Teslimat başarısız! Adres teyidi için giriş yapın: http://adres-teyit.org,phishing,kargo
15,Son uyarı: Kargonuz geri gönderilecek. Hemen tıklayın: http://son-uyari-kargo.net,phishing,kargo
16,Paketiniz teslim edilemedi. Yeni tarih seçmek için: http://tarih-sec.link,phishing,kargo
17,Gönderiniz askıya alındı. Ücret yansımaması için kontrol edin: http://ucret-bilgi.co,phishing,kargo
18,Kargo bildirimi: Kimlik doğrulaması gerekiyor. Hemen giriş yapın: http://kimlik-kargo.net,phishing,kargo
19,Teslim edilemeyen paketiniz için işlem süresi doluyor: http://sure-doluyor.info,phishing,kargo
20,Kargonuz yanlış adres nedeniyle teslim edilemedi. Güncellemek için: http://adres-guncelle.co,phishing,kargo
21,Acil teslimat bildirimi! Hemen doğrulamazsanız iptal edilecek: http://iptal-onay.net,phishing,kargo
22,Paketiniz dağıtımda kayda alınamadı. İşlem için tıklayın: http://kayit-kargo.link,phishing,kargo
23,Kargonuz teslim edilemedi. 6 saat içinde işlem yapın: http://6saat-teslim.info,phishing,kargo
24,Son deneme başarısız oldu. Yeni teslimat için giriş yapın: http://son-deneme.co,phishing,kargo
25,Gönderiniz bekletiliyor. Hemen adres doğrulaması yapın: http://adres-onay.net,phishing,kargo
26,Kargo teslim edilemedi. Ek depolama ücreti uygulanmadan önce: http://depolama-ucret.link,phishing,kargo
27,Paketiniz için acil işlem gerekiyor: http://acil-kargo.co,phishing,kargo
28,Teslimat başarısız. Yeniden planlamak için tıklayın: http://planla-kargo.net,phishing,kargo
29,Kargonuz askıya alındı. Onay vermek için giriş yapın: http://onay-kargo.info,phishing,kargo
30,Kargo şirketi uyarısı: Teslim edilemedi. Son 24 saat: http://24saat-kargo.co,phishing,kargo
31,Paketiniz iade sürecine girdi. Durdurmak için tıklayın: http://iade-durdur.net,phishing,kargo
32,Adres doğrulaması yapılmadığı için teslim edilemedi: http://dogrula-adres.link,phishing,kargo
33,Kargonuz dağıtım merkezinde bekliyor. Hemen işlem yapın: http://merkez-kargo.info,phishing,kargo
34,Teslim edilemeyen paketiniz için son şans: http://son-sans-kargo.co,phishing,kargo
35,Gönderiniz bloke edildi. Bilgilerinizi doğrulayın: http://bloke-kargo.net,phishing,kargo
36,Kargo bildirimi: Teslim edilemedi. Yeni tarih belirlemek için: http://tarih-belirle.link,phishing,kargo
37,Paketiniz adres hatası nedeniyle beklemede: http://adres-hata.info,phishing,kargo
38,Kargonuz geri gönderilmeden önce işlem yapın: http://geri-kargo.co,phishing,kargo
39,Teslim başarısız. Ek ücret uygulanabilir. Hemen kontrol edin: http://ek-ucret.net,phishing,kargo
40,Son uyarı! Paketiniz teslim edilemedi: http://uyari-kargo.link,phishing,kargo
